"SKU","Tamanho Pedido","Loja","Data da Venda","Código Cliente","Preço Unitário","Faturamento","Marca","Categoria"
"HL1019","3","São Paulo","2/1/2016","389","R$ 6,500.00","R$ 19,500.00","Apple","Celular"
"HL1001","3","São Paulo","2/1/2016","446","R$ 2,600.00","R$ 7,800.00","LG","Televisão"
"HL1001","3","Curitiba","2/1/2016","720","R$ 2,600.00","R$ 7,800.00","LG","Televisão"
"HL1005","5","São Paulo","2/1/2016","450","R$ 1,500.00","R$ 7,500.00","Canon","Câmera"
"HL1001","2","Niterói","2/1/2016","688","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1013","3","Curitiba","2/1/2016","812","R$ 1,550.00","R$ 4,650.00","Nikon","Câmera"
"HL1019","4","Fortaleza","2/1/2016","781","R$ 6,500.00","R$ 26,000.00","Apple","Celular"
"HL1019","2","São Paulo","2/1/2016","105","R$ 6,500.00","R$ 13,000.00","Apple","Celular"
"HL1023","3","Curitiba","2/1/2016","95","R$ 1,500.00","R$ 4,500.00","Samsung","Notebook"
"HL1021","1","Goiânia","2/1/2016","614","R$ 3,000.00","R$ 3,000.00","Samsung","Celular"
"HL1018","1","Campinas","3/1/2016","309","R$ 1,200.00","R$ 1,200.00","Xiaomi","Smart Watch"
"HL1001","1","Rio de Janeiro","3/1/2016","125","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1017","5","Rio de Janeiro","3/1/2016","374","R$ 5,200.00","R$ 26,000.00","Samsung","Televisão"
"HL1001","4","Belo Horizonte","3/1/2016","23","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1013","1","São Paulo","3/1/2016","737","R$ 1,550.00","R$ 1,550.00","Nikon","Câmera"
"HL1001","3","Recife","3/1/2016","822","R$ 2,600.00","R$ 7,800.00","LG","Televisão"
"HL1001","3","Fortaleza","3/1/2016","621","R$ 2,600.00","R$ 7,800.00","LG","Televisão"
"HL1013","4","Fortaleza","3/1/2016","292","R$ 1,550.00","R$ 6,200.00","Nikon","Câmera"
"HL1001","1","São Paulo","3/1/2016","69","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1001","1","Salvador","3/1/2016","54","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1015","5","Fortaleza","3/1/2016","171","R$ 700.00","R$ 3,500.00","Sony","Câmera"
"HL1018","2","Salvador","3/1/2016","534","R$ 1,200.00","R$ 2,400.00","Xiaomi","Smart Watch"
"HL1013","2","Guarulhos","3/1/2016","205","R$ 1,550.00","R$ 3,100.00","Nikon","Câmera"
"HL1013","3","Campinas","3/1/2016","329","R$ 1,550.00","R$ 4,650.00","Nikon","Câmera"
"HL1021","4","Campinas","3/1/2016","139","R$ 3,000.00","R$ 12,000.00","Samsung","Celular"
"HL1010","5","São Paulo","3/1/2016","316","R$ 1,900.00","R$ 9,500.00","Apple","Celular"
"HL1009","1","São Paulo","3/1/2016","797","R$ 1,400.00","R$ 1,400.00","Motorola","Celular"
"HL1007","2","São Paulo","3/1/2016","797","R$ 2,300.00","R$ 4,600.00","Dell","Notebook"
"HL1014","4","Rio de Janeiro","3/1/2016","572","R$ 1,100.00","R$ 4,400.00","Samsung","Celular"
"HL1007","2","Belo Horizonte","3/1/2016","475","R$ 2,300.00","R$ 4,600.00","Dell","Notebook"
"HL1008","4","Belo Horizonte","3/1/2016","786","R$ 2,000.00","R$ 8,000.00","Philco","Televisão"
"HL1006","4","Salvador","3/1/2016","437","R$ 1,400.00","R$ 5,600.00","Samsung","Televisão"
"HL1015","4","Belo Horizonte","3/1/2016","786","R$ 700.00","R$ 2,800.00","Sony","Câmera"
"HL1009","1","Rio de Janeiro","3/1/2016","76","R$ 1,400.00","R$ 1,400.00","Motorola","Celular"
"HL1001","5","Campinas","3/1/2016","139","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1009","5","São Paulo","3/1/2016","450","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1019","4","Fortaleza","3/1/2016","687","R$ 6,500.00","R$ 26,000.00","Apple","Celular"
"HL1007","4","Campinas","3/1/2016","529","R$ 2,300.00","R$ 9,200.00","Dell","Notebook"
"HL1019","5","Salvador","4/1/2016","761","R$ 6,500.00","R$ 32,500.00","Apple","Celular"
"HL1023","3","Porto Alegre","4/1/2016","554","R$ 1,500.00","R$ 4,500.00","Samsung","Notebook"
"HL1005","5","Nova Iguaçu","4/1/2016","517","R$ 1,500.00","R$ 7,500.00","Canon","Câmera"
"HL1005","2","São Paulo","4/1/2016","446","R$ 1,500.00","R$ 3,000.00","Canon","Câmera"
"HL1015","1","Fortaleza","4/1/2016","171","R$ 700.00","R$ 700.00","Sony","Câmera"
"HL1020","5","Guarulhos","4/1/2016","126","R$ 1,500.00","R$ 7,500.00","Motorola","Celular"
"HL1009","2","São Paulo","4/1/2016","698","R$ 1,400.00","R$ 2,800.00","Motorola","Celular"
"HL1007","2","São Paulo","4/1/2016","382","R$ 2,300.00","R$ 4,600.00","Dell","Notebook"
"HL1008","4","Goiânia","4/1/2016","562","R$ 2,000.00","R$ 8,000.00","Philco","Televisão"
"HL1001","3","Belo Horizonte","4/1/2016","581","R$ 2,600.00","R$ 7,800.00","LG","Televisão"
"HL1007","2","Salvador","4/1/2016","559","R$ 2,300.00","R$ 4,600.00","Dell","Notebook"
"HL1007","1","Recife","4/1/2016","244","R$ 2,300.00","R$ 2,300.00","Dell","Notebook"
"HL1021","1","Guarulhos","4/1/2016","356","R$ 3,000.00","R$ 3,000.00","Samsung","Celular"
"HL1014","2","São Paulo","4/1/2016","406","R$ 1,100.00","R$ 2,200.00","Samsung","Celular"
"HL1008","1","Niterói","4/1/2016","488","R$ 2,000.00","R$ 2,000.00","Philco","Televisão"
"HL1001","5","Rio de Janeiro","4/1/2016","20","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1017","5","Campinas","4/1/2016","199","R$ 5,200.00","R$ 26,000.00","Samsung","Televisão"
"HL1014","2","São Paulo","4/1/2016","55","R$ 1,100.00","R$ 2,200.00","Samsung","Celular"
"HL1007","5","Campinas","4/1/2016","110","R$ 2,300.00","R$ 11,500.00","Dell","Notebook"
"HL1007","1","Fortaleza","4/1/2016","503","R$ 2,300.00","R$ 2,300.00","Dell","Notebook"
"HL1016","5","São Paulo","4/1/2016","400","R$ 1,450.00","R$ 7,250.00","Samsung","Smart Watch"
"HL1009","5","Recife","4/1/2016","342","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1006","1","Campinas","4/1/2016","511","R$ 1,400.00","R$ 1,400.00","Samsung","Televisão"
"HL1012","2","São Paulo","4/1/2016","737","R$ 5,500.00","R$ 11,000.00","Dell","Notebook"
"HL1001","1","São Paulo","4/1/2016","104","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1001","4","Rio de Janeiro","4/1/2016","259","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1001","4","Nova Iguaçu","4/1/2016","149","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1009","3","Rio de Janeiro","4/1/2016","405","R$ 1,400.00","R$ 4,200.00","Motorola","Celular"
"HL1007","4","Porto Alegre","5/1/2016","266","R$ 2,300.00","R$ 9,200.00","Dell","Notebook"
"HL1015","5","Campinas","5/1/2016","151","R$ 700.00","R$ 3,500.00","Sony","Câmera"
"HL1004","4","Belo Horizonte","5/1/2016","626","R$ 1,750.00","R$ 7,000.00","Apple","Smart Watch"
"HL1001","2","São Paulo","5/1/2016","314","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1013","2","Porto Alegre","5/1/2016","525","R$ 1,550.00","R$ 3,100.00","Nikon","Câmera"
"HL1021","5","São Paulo","5/1/2016","541","R$ 3,000.00","R$ 15,000.00","Samsung","Celular"
"HL1005","4","Curitiba","5/1/2016","178","R$ 1,500.00","R$ 6,000.00","Canon","Câmera"
"HL1007","2","Curitiba","5/1/2016","533","R$ 2,300.00","R$ 4,600.00","Dell","Notebook"
"HL1021","1","Fortaleza","5/1/2016","171","R$ 3,000.00","R$ 3,000.00","Samsung","Celular"
"HL1018","5","Goiânia","5/1/2016","177","R$ 1,200.00","R$ 6,000.00","Xiaomi","Smart Watch"
"HL1004","1","São Paulo","5/1/2016","541","R$ 1,750.00","R$ 1,750.00","Apple","Smart Watch"
"HL1007","2","São Paulo","5/1/2016","160","R$ 2,300.00","R$ 4,600.00","Dell","Notebook"
"HL1008","1","Porto Alegre","5/1/2016","253","R$ 2,000.00","R$ 2,000.00","Philco","Televisão"
"HL1024","2","Porto Alegre","5/1/2016","230","R$ 2,400.00","R$ 4,800.00","Acer","Notebook"
"HL1007","3","Recife","5/1/2016","321","R$ 2,300.00","R$ 6,900.00","Dell","Notebook"
"HL1015","2","Fortaleza","5/1/2016","580","R$ 700.00","R$ 1,400.00","Sony","Câmera"
"HL1023","5","Campinas","5/1/2016","201","R$ 1,500.00","R$ 7,500.00","Samsung","Notebook"
"HL1020","3","São Paulo","5/1/2016","725","R$ 1,500.00","R$ 4,500.00","Motorola","Celular"
"HL1005","2","Salvador","5/1/2016","448","R$ 1,500.00","R$ 3,000.00","Canon","Câmera"
"HL1003","2","Belo Horizonte","6/1/2016","391","R$ 4,500.00","R$ 9,000.00","Samsung","Celular"
"HL1001","5","Fortaleza","6/1/2016","796","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1020","4","Curitiba","6/1/2016","95","R$ 1,500.00","R$ 6,000.00","Motorola","Celular"
"HL1009","5","Rio de Janeiro","6/1/2016","121","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1013","4","Fortaleza","6/1/2016","366","R$ 1,550.00","R$ 6,200.00","Nikon","Câmera"
"HL1008","4","Porto Alegre","6/1/2016","189","R$ 2,000.00","R$ 8,000.00","Philco","Televisão"
"HL1018","2","Recife","6/1/2016","370","R$ 1,200.00","R$ 2,400.00","Xiaomi","Smart Watch"
"HL1023","5","São Paulo","6/1/2016","748","R$ 1,500.00","R$ 7,500.00","Samsung","Notebook"
"HL1019","1","Fortaleza","6/1/2016","130","R$ 6,500.00","R$ 6,500.00","Apple","Celular"
"HL1023","1","Recife","6/1/2016","398","R$ 1,500.00","R$ 1,500.00","Samsung","Notebook"
"HL1024","5","Rio de Janeiro","6/1/2016","407","R$ 2,400.00","R$ 12,000.00","Acer","Notebook"
"HL1018","4","Fortaleza","6/1/2016","703","R$ 1,200.00","R$ 4,800.00","Xiaomi","Smart Watch"
"HL1019","4","São Paulo","6/1/2016","145","R$ 6,500.00","R$ 26,000.00","Apple","Celular"
"HL1008","5","Curitiba","6/1/2016","535","R$ 2,000.00","R$ 10,000.00","Philco","Televisão"
"HL1005","4","Rio de Janeiro","6/1/2016","331","R$ 1,500.00","R$ 6,000.00","Canon","Câmera"
"HL1008","3","São Paulo","6/1/2016","429","R$ 2,000.00","R$ 6,000.00","Philco","Televisão"
"HL1015","3","Campinas","6/1/2016","422","R$ 700.00","R$ 2,100.00","Sony","Câmera"
"HL1012","1","Salvador","6/1/2016","198","R$ 5,500.00","R$ 5,500.00","Dell","Notebook"
"HL1017","1","Recife","6/1/2016","219","R$ 5,200.00","R$ 5,200.00","Samsung","Televisão"
"HL1015","3","São Paulo","6/1/2016","608","R$ 700.00","R$ 2,100.00","Sony","Câmera"
"HL1024","3","São Paulo","6/1/2016","261","R$ 2,400.00","R$ 7,200.00","Acer","Notebook"
"HL1005","4","Niterói","7/1/2016","350","R$ 1,500.00","R$ 6,000.00","Canon","Câmera"
"HL1008","3","São Paulo","7/1/2016","641","R$ 2,000.00","R$ 6,000.00","Philco","Televisão"
"HL1008","5","Campinas","7/1/2016","59","R$ 2,000.00","R$ 10,000.00","Philco","Televisão"
"HL1005","3","Curitiba","7/1/2016","338","R$ 1,500.00","R$ 4,500.00","Canon","Câmera"
"HL1017","4","Belo Horizonte","7/1/2016","590","R$ 5,200.00","R$ 20,800.00","Samsung","Televisão"
"HL1009","1","São Paulo","7/1/2016","748","R$ 1,400.00","R$ 1,400.00","Motorola","Celular"
"HL1018","5","Campinas","7/1/2016","262","R$ 1,200.00","R$ 6,000.00","Xiaomi","Smart Watch"
"HL1019","4","Goiânia","7/1/2016","518","R$ 6,500.00","R$ 26,000.00","Apple","Celular"
"HL1007","3","Belo Horizonte","7/1/2016","186","R$ 2,300.00","R$ 6,900.00","Dell","Notebook"
"HL1009","3","Recife","7/1/2016","39","R$ 1,400.00","R$ 4,200.00","Motorola","Celular"
"HL1018","3","Niterói","7/1/2016","73","R$ 1,200.00","R$ 3,600.00","Xiaomi","Smart Watch"
"HL1024","2","Rio de Janeiro","7/1/2016","121","R$ 2,400.00","R$ 4,800.00","Acer","Notebook"
"HL1001","3","Salvador","7/1/2016","692","R$ 2,600.00","R$ 7,800.00","LG","Televisão"
"HL1018","3","Salvador","7/1/2016","593","R$ 1,200.00","R$ 3,600.00","Xiaomi","Smart Watch"
"HL1002","4","São Paulo","7/1/2016","303","R$ 2,500.00","R$ 10,000.00","Apple","Celular"
"HL1016","4","Rio de Janeiro","7/1/2016","92","R$ 1,450.00","R$ 5,800.00","Samsung","Smart Watch"
"HL1008","2","Nova Iguaçu","7/1/2016","711","R$ 2,000.00","R$ 4,000.00","Philco","Televisão"
"HL1009","3","Porto Alegre","7/1/2016","68","R$ 1,400.00","R$ 4,200.00","Motorola","Celular"
"HL1015","5","Rio de Janeiro","7/1/2016","652","R$ 700.00","R$ 3,500.00","Sony","Câmera"
"HL1014","1","Fortaleza","7/1/2016","163","R$ 1,100.00","R$ 1,100.00","Samsung","Celular"
"HL1005","3","Curitiba","7/1/2016","1","R$ 1,500.00","R$ 4,500.00","Canon","Câmera"
"HL1008","5","Guarulhos","7/1/2016","272","R$ 2,000.00","R$ 10,000.00","Philco","Televisão"
"HL1001","2","Curitiba","7/1/2016","637","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1015","5","Curitiba","7/1/2016","715","R$ 700.00","R$ 3,500.00","Sony","Câmera"
"HL1015","3","Recife","7/1/2016","39","R$ 700.00","R$ 2,100.00","Sony","Câmera"
"HL1002","2","Guarulhos","8/1/2016","561","R$ 2,500.00","R$ 5,000.00","Apple","Celular"
"HL1006","4","São Paulo","8/1/2016","698","R$ 1,400.00","R$ 5,600.00","Samsung","Televisão"
"HL1003","3","Recife","8/1/2016","547","R$ 4,500.00","R$ 13,500.00","Samsung","Celular"
"HL1001","4","Rio de Janeiro","8/1/2016","259","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1007","3","Curitiba","8/1/2016","533","R$ 2,300.00","R$ 6,900.00","Dell","Notebook"
"HL1008","5","São Paulo","8/1/2016","145","R$ 2,000.00","R$ 10,000.00","Philco","Televisão"
"HL1015","2","Curitiba","8/1/2016","367","R$ 700.00","R$ 1,400.00","Sony","Câmera"
"HL1002","1","São Paulo","8/1/2016","303","R$ 2,500.00","R$ 2,500.00","Apple","Celular"
"HL1021","3","Recife","8/1/2016","814","R$ 3,000.00","R$ 9,000.00","Samsung","Celular"
"HL1007","4","Curitiba","8/1/2016","812","R$ 2,300.00","R$ 9,200.00","Dell","Notebook"
"HL1016","3","Porto Alegre","8/1/2016","115","R$ 1,450.00","R$ 4,350.00","Samsung","Smart Watch"
"HL1018","1","Rio de Janeiro","8/1/2016","804","R$ 1,200.00","R$ 1,200.00","Xiaomi","Smart Watch"
"HL1009","5","Campinas","8/1/2016","120","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1017","1","Recife","9/1/2016","342","R$ 5,200.00","R$ 5,200.00","Samsung","Televisão"
"HL1013","4","Recife","9/1/2016","27","R$ 1,550.00","R$ 6,200.00","Nikon","Câmera"
"HL1021","5","São Paulo","9/1/2016","224","R$ 3,000.00","R$ 15,000.00","Samsung","Celular"
"HL1018","5","São Paulo","9/1/2016","104","R$ 1,200.00","R$ 6,000.00","Xiaomi","Smart Watch"
"HL1009","2","Goiânia","9/1/2016","89","R$ 1,400.00","R$ 2,800.00","Motorola","Celular"
"HL1005","1","Rio de Janeiro","9/1/2016","92","R$ 1,500.00","R$ 1,500.00","Canon","Câmera"
"HL1001","1","São Paulo","9/1/2016","53","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1006","2","Rio de Janeiro","9/1/2016","284","R$ 1,400.00","R$ 2,800.00","Samsung","Televisão"
"HL1001","5","Porto Alegre","9/1/2016","794","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1013","4","Fortaleza","9/1/2016","269","R$ 1,550.00","R$ 6,200.00","Nikon","Câmera"
"HL1023","2","Rio de Janeiro","9/1/2016","148","R$ 1,500.00","R$ 3,000.00","Samsung","Notebook"
"HL1015","1","Salvador","9/1/2016","800","R$ 700.00","R$ 700.00","Sony","Câmera"
"HL1018","5","Salvador","9/1/2016","761","R$ 1,200.00","R$ 6,000.00","Xiaomi","Smart Watch"
"HL1001","4","Goiânia","9/1/2016","291","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1012","1","São Paulo","9/1/2016","261","R$ 5,500.00","R$ 5,500.00","Dell","Notebook"
"HL1001","1","São Paulo","9/1/2016","617","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1001","4","Guarulhos","9/1/2016","467","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1015","5","Recife","9/1/2016","814","R$ 700.00","R$ 3,500.00","Sony","Câmera"
"HL1013","2","Rio de Janeiro","9/1/2016","694","R$ 1,550.00","R$ 3,100.00","Nikon","Câmera"
"HL1015","4","Nova Iguaçu","9/1/2016","627","R$ 700.00","R$ 2,800.00","Sony","Câmera"
"HL1006","4","São Paulo","9/1/2016","683","R$ 1,400.00","R$ 5,600.00","Samsung","Televisão"
"HL1013","3","São Paulo","10/1/2016","104","R$ 1,550.00","R$ 4,650.00","Nikon","Câmera"
"HL1009","2","São Paulo","10/1/2016","541","R$ 1,400.00","R$ 2,800.00","Motorola","Celular"
"HL1001","1","São Paulo","10/1/2016","540","R$ 2,600.00","R$ 2,600.00","LG","Televisão"
"HL1010","1","São Paulo","10/1/2016","224","R$ 1,900.00","R$ 1,900.00","Apple","Celular"
"HL1013","5","Guarulhos","10/1/2016","167","R$ 1,550.00","R$ 7,750.00","Nikon","Câmera"
"HL1001","5","Campinas","10/1/2016","423","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1015","2","Niterói","10/1/2016","135","R$ 700.00","R$ 1,400.00","Sony","Câmera"
"HL1007","3","São Paulo","10/1/2016","111","R$ 2,300.00","R$ 6,900.00","Dell","Notebook"
"HL1002","1","São Paulo","10/1/2016","408","R$ 2,500.00","R$ 2,500.00","Apple","Celular"
"HL1013","2","Nova Iguaçu","10/1/2016","355","R$ 1,550.00","R$ 3,100.00","Nikon","Câmera"
"HL1012","2","Salvador","10/1/2016","396","R$ 5,500.00","R$ 11,000.00","Dell","Notebook"
"HL1020","3","Fortaleza","10/1/2016","171","R$ 1,500.00","R$ 4,500.00","Motorola","Celular"
"HL1005","4","Rio de Janeiro","10/1/2016","572","R$ 1,500.00","R$ 6,000.00","Canon","Câmera"
"HL1007","4","Fortaleza","10/1/2016","703","R$ 2,300.00","R$ 9,200.00","Dell","Notebook"
"HL1011","5","Rio de Janeiro","10/1/2016","331","R$ 2,000.00","R$ 10,000.00","Samsung","Tablet"
"HL1015","4","São Paulo","10/1/2016","310","R$ 700.00","R$ 2,800.00","Sony","Câmera"
"HL1007","3","São Paulo","10/1/2016","797","R$ 2,300.00","R$ 6,900.00","Dell","Notebook"
"HL1019","3","Salvador","10/1/2016","170","R$ 6,500.00","R$ 19,500.00","Apple","Celular"
"HL1007","5","Recife","10/1/2016","297","R$ 2,300.00","R$ 11,500.00","Dell","Notebook"
"HL1013","2","Salvador","11/1/2016","482","R$ 1,550.00","R$ 3,100.00","Nikon","Câmera"
"HL1008","3","São Paulo","11/1/2016","312","R$ 2,000.00","R$ 6,000.00","Philco","Televisão"
"HL1001","3","Belo Horizonte","11/1/2016","180","R$ 2,600.00","R$ 7,800.00","LG","Televisão"
"HL1007","3","Rio de Janeiro","11/1/2016","52","R$ 2,300.00","R$ 6,900.00","Dell","Notebook"
"HL1001","3","Porto Alegre","11/1/2016","780","R$ 2,600.00","R$ 7,800.00","LG","Televisão"
"HL1015","3","Salvador","11/1/2016","675","R$ 700.00","R$ 2,100.00","Sony","Câmera"
"HL1020","1","São Paulo","11/1/2016","314","R$ 1,500.00","R$ 1,500.00","Motorola","Celular"
"HL1021","4","São Paulo","11/1/2016","389","R$ 3,000.00","R$ 12,000.00","Samsung","Celular"
"HL1021","2","Curitiba","11/1/2016","741","R$ 3,000.00","R$ 6,000.00","Samsung","Celular"
"HL1023","3","Belo Horizonte","11/1/2016","80","R$ 1,500.00","R$ 4,500.00","Samsung","Notebook"
"HL1020","5","São Paulo","11/1/2016","49","R$ 1,500.00","R$ 7,500.00","Motorola","Celular"
"HL1004","3","São Paulo","11/1/2016","312","R$ 1,750.00","R$ 5,250.00","Apple","Smart Watch"
"HL1008","4","Belo Horizonte","11/1/2016","506","R$ 2,000.00","R$ 8,000.00","Philco","Televisão"
"HL1015","4","Recife","11/1/2016","70","R$ 700.00","R$ 2,800.00","Sony","Câmera"
"HL1024","3","Salvador","11/1/2016","264","R$ 2,400.00","R$ 7,200.00","Acer","Notebook"
"HL1002","2","São Paulo","11/1/2016","224","R$ 2,500.00","R$ 5,000.00","Apple","Celular"
"HL1021","2","São Paulo","11/1/2016","320","R$ 3,000.00","R$ 6,000.00","Samsung","Celular"
"HL1013","3","Rio de Janeiro","11/1/2016","537","R$ 1,550.00","R$ 4,650.00","Nikon","Câmera"
"HL1005","2","São Paulo","11/1/2016","728","R$ 1,500.00","R$ 3,000.00","Canon","Câmera"
"HL1004","2","São Paulo","12/1/2016","209","R$ 1,750.00","R$ 3,500.00","Apple","Smart Watch"
"HL1002","1","São Paulo","12/1/2016","261","R$ 2,500.00","R$ 2,500.00","Apple","Celular"
"HL1009","5","Rio de Janeiro","12/1/2016","99","R$ 1,400.00","R$ 7,000.00","Motorola","Celular"
"HL1013","2","Salvador","12/1/2016","156","R$ 1,550.00","R$ 3,100.00","Nikon","Câmera"
"HL1023","2","Salvador","12/1/2016","448","R$ 1,500.00","R$ 3,000.00","Samsung","Notebook"
"HL1008","5","Rio de Janeiro","12/1/2016","499","R$ 2,000.00","R$ 10,000.00","Philco","Televisão"
"HL1021","4","Rio de Janeiro","12/1/2016","3","R$ 3,000.00","R$ 12,000.00","Samsung","Celular"
"HL1023","4","São Paulo","12/1/2016","105","R$ 1,500.00","R$ 6,000.00","Samsung","Notebook"
"HL1001","2","Campinas","12/1/2016","563","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1001","5","Fortaleza","12/1/2016","802","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
